QueryNumber;DocInfos
1;[1, '151', 0.13168614090758243]
1;[2, '139', 0.12783748489847152]
1;[3, '40', 0.12413268273376635]
1;[4, '11', 0.12300446432061295]
1;[5, '27', 0.11913390898746573]
1;[6, '53', 0.11660276212652475]
1;[7, '52', 0.10807366316240924]
1;[8, '159', 0.08049365345041733]
1;[9, '28', 0.06885833357594603]
1;[10, '43', 0.06279269861301508]
1;[11, '166', 0.056419113266572826]
1;[12, '62', 0.046940127487058794]
1;[13, '55', 0.040563651115574785]
1;[14, '144', 0.03359863589093925]
1;[15, '114', 0.03355482131084145]
1;[16, '61', 0.03296792332495543]
1;[17, '122', 0.029827996189880426]
1;[18, '51', 0.029807163923327336]
1;[19, '24', 0.028662048215771372]
1;[20, '41', 0.02839827882635021]
1;[21, '7', 0.027618662754558723]
1;[22, '47', 0.026949843067207754]
1;[23, '100', 0.02447383731605168]
1;[24, '80', 0.024212094762138606]
1;[25, '23', 0.02307872546666717]
1;[26, '6', 0.022589288327823507]
1;[27, '82', 0.021980483701874047]
1;[28, '160', 0.021361690107441884]
1;[29, '26', 0.020941217225505758]
1;[30, '59', 0.020098229504561062]
1;[31, '1', 0.018364052751344753]
1;[32, '89', 0.01727969523067941]
1;[33, '141', 0.016824434251105223]
1;[34, '150', 0.015491181541575912]
1;[35, '31', 0.014673907485433884]
1;[36, '3', 0.012568625762650143]
1;[37, '113', 0.0115139628355773]
1;[38, '4', 0.011082781150885438]
1;[39, '42', 0.01097480427331089]
1;[40, '167', 0.010560352455885779]
1;[41, '64', 0.010044202195571892]
1;[42, '140', 0.009632386057061768]
1;[43, '74', 0.00919155895147363]
1;[44, '8', 0.009081205571979526]
1;[45, '156', 0.008819444167026182]
1;[46, '149', 0.008795793464049009]
1;[47, '143', 0.008100588327567403]
1;[48, '21', 0.007760657331002801]
1;[49, '65', 0.0075638013614718735]
1;[50, '15', 0.007411495285536258]
1;[51, '13', 0.007300922757468082]
1;[52, '68', 0.006918382000137987]
1;[53, '92', 0.0067311080975720914]
1;[54, '148', 0.006509509719785051]
1;[55, '49', 0.006442856610281864]
1;[56, '85', 0.006102968389746717]
1;[57, '108', 0.005714132455472844]
1;[58, '5', 0.005433187496783538]
1;[59, '155', 0.005223917409399787]
1;[60, '124', 0.005084554518166388]
1;[61, '137', 0.004710776951290275]
1;[62, '22', 0.004675506392531537]
1;[63, '161', 0.0046001822200765685]
1;[64, '134', 0.00452638462031447]
1;[65, '93', 0.004394257492591615]
1;[66, '123', 0.00415129631513738]
2;[1, '160', 0.2314309918137354]
2;[2, '1', 0.16275757906736768]
2;[3, '6', 0.12956114057040674]
2;[4, '62', 0.1084810245967404]
2;[5, '159', 0.10072396552709086]
2;[6, '11', 0.09734211023213035]
2;[7, '151', 0.09676680373980161]
2;[8, '25', 0.0770429507189379]
2;[9, '80', 0.07419393438254314]
2;[10, '41', 0.06185436413004427]
2;[11, '32', 0.06136415779926131]
2;[12, '114', 0.05990647259356664]
2;[13, '7', 0.05642186332288861]
2;[14, '28', 0.05333743583744679]
2;[15, '57', 0.04638569233511975]
2;[16, '137', 0.0435498998018573]
2;[17, '148', 0.042367861199036086]
2;[18, '15', 0.042049304164550966]
2;[19, '166', 0.03298992944169479]
2;[20, '43', 0.029383609711390056]
2;[21, '124', 0.02838132661503248]
2;[22, '47', 0.02706608234051683]
2;[23, '134', 0.026880820306805386]
2;[24, '31', 0.02484945782205449]
2;[25, '99', 0.023124428426802]
2;[26, '81', 0.02291102377561844]
2;[27, '74', 0.02223640290516768]
2;[28, '141', 0.02035100360201133]
2;[29, '152', 0.020122345935922395]
2;[30, '61', 0.019277322902801982]
2;[31, '8', 0.018372970277095273]
2;[32, '48', 0.018087467771166665]
2;[33, '13', 0.017662538082132414]
2;[34, '123', 0.01758873810665957]
2;[35, '50', 0.0174298431352741]
2;[36, '87', 0.015812990153995763]
2;[37, '3', 0.015203135175331235]
2;[38, '69', 0.014063162903580853]
2;[39, '70', 0.013964842752218567]
2;[40, '66', 0.012743502918636346]
2;[41, '2', 0.01227389369995046]
2;[42, '100', 0.009867932633778127]
3;[1, '2', 0.18814120236829399]
3;[2, '150', 0.1444838807290394]
3;[3, '55', 0.14224141216045633]
3;[4, '28', 0.12277229970788787]
3;[5, '51', 0.10195313685726086]
3;[6, '32', 0.09934868265337428]
3;[7, '23', 0.09727275682773295]
3;[8, '140', 0.08827934750418767]
3;[9, '26', 0.07365427065269814]
3;[10, '65', 0.07164042179981088]
3;[11, '70', 0.07153472241927966]
3;[12, '144', 0.07068164858225424]
3;[13, '138', 0.06678891813290101]
3;[14, '151', 0.06501551611715296]
3;[15, '24', 0.05953334946268599]
3;[16, '160', 0.05583125409724621]
3;[17, '122', 0.055703663521260875]
3;[18, '11', 0.04969883910683139]
3;[19, '137', 0.049484491587202264]
3;[20, '44', 0.04806313915188336]
3;[21, '143', 0.04731430404590449]
3;[22, '62', 0.046940127487058794]
3;[23, '124', 0.04200488685092389]
3;[24, '113', 0.039382634046117214]
3;[25, '54', 0.03847896356672893]
3;[26, '141', 0.03799959546572215]
3;[27, '4', 0.037704228338794346]
3;[28, '43', 0.03762187750867572]
3;[29, '59', 0.03631364140560475]
3;[30, '159', 0.03606553080577414]
3;[31, '108', 0.03337537835822869]
3;[32, '139', 0.030476387184152413]
3;[33, '3', 0.0277793270628709]
3;[34, '7', 0.027618662754558723]
3;[35, '35', 0.025436287665339428]
3;[36, '100', 0.02447383731605168]
3;[37, '80', 0.024212094762138606]
3;[38, '52', 0.023984548665032895]
3;[39, '6', 0.022589288327823507]
3;[40, '22', 0.02232922362501267]
3;[41, '82', 0.021980483701874047]
3;[42, '145', 0.021096863398064384]
3;[43, '149', 0.0194405679689646]
3;[44, '1', 0.018364052751344753]
3;[45, '45', 0.018339955874897812]
3;[46, '89', 0.01727969523067941]
3;[47, '134', 0.015482154285143667]
3;[48, '31', 0.014673907485433884]
3;[49, '78', 0.014645645138115669]
3;[50, '166', 0.013829297493158931]
3;[51, '48', 0.012439165582708911]
3;[52, '42', 0.01097480427331089]
3;[53, '167', 0.010560352455885779]
3;[54, '64', 0.010044202195571892]
3;[55, '74', 0.00919155895147363]
3;[56, '8', 0.009081205571979526]
3;[57, '156', 0.008819444167026182]
3;[58, '61', 0.008081006470950461]
3;[59, '21', 0.007760657331002801]
3;[60, '27', 0.007729780003560462]
3;[61, '53', 0.007565551291869024]
3;[62, '15', 0.007411495285536258]
3;[63, '13', 0.007300922757468082]
3;[64, '68', 0.006918382000137987]
3;[65, '92', 0.0067311080975720914]
3;[66, '148', 0.006509509719785051]
3;[67, '49', 0.006442856610281864]
3;[68, '85', 0.006102968389746717]
3;[69, '40', 0.005488105849662206]
3;[70, '5', 0.005433187496783538]
3;[71, '155', 0.005223917409399787]
3;[72, '161', 0.0046001822200765685]
3;[73, '93', 0.004394257492591615]
3;[74, '123', 0.00415129631513738]
3;[75, '47', 0.0037642806642201082]
4;[1, '160', 0.18319458385463497]
4;[2, '11', 0.10338726605303539]
4;[3, '137', 0.09543668869579924]
4;[4, '25', 0.07906297143015306]
4;[5, '45', 0.0745846806142527]
4;[6, '1', 0.07086928717418402]
4;[7, '52', 0.06902309041275524]
4;[8, '148', 0.06698947048941326]
4;[9, '7', 0.056448576187084924]
4;[10, '6', 0.04649334677891988]
4;[11, '80', 0.041527843554417465]
4;[12, '15', 0.03813590931463046]
4;[13, '23', 0.03740456677329801]
4;[14, '159', 0.03711509646041682]
4;[15, '99', 0.03656293170911929]
4;[16, '8', 0.030079672704954184]
4;[17, '31', 0.018876177599676285]
5;[1, '151', 0.21637715112757727]
5;[2, '32', 0.10415279892805623]
5;[3, '166', 0.07376772480455122]
5;[4, '59', 0.06347058439862195]
5;[5, '114', 0.0581186553492723]
5;[6, '117', 0.05508413320143167]
5;[7, '41', 0.04918726177474602]
5;[8, '47', 0.040158572084033346]
5;[9, '150', 0.03669108062152321]
5;[10, '24', 0.033943231477870525]
5;[11, '144', 0.031831536024262384]
5;[12, '140', 0.03041925519141395]
6;[1, '31', 0.3295076129948944]
6;[2, '47', 0.284042182607664]
6;[3, '27', 0.14780309409852888]
6;[4, '137', 0.09946535628679508]
6;[5, '11', 0.08697729083732415]
6;[6, '53', 0.08245060380474759]
6;[7, '55', 0.08097975245215863]
6;[8, '52', 0.07122920835376297]
6;[9, '161', 0.05663012166818046]
6;[10, '166', 0.056020160012516695]
6;[11, '61', 0.052597312053389]
6;[12, '80', 0.04833611832918479]
6;[13, '7', 0.04725232293776597]
6;[14, '25', 0.03914749952706377]
6;[15, '23', 0.03791465997410796]
6;[16, '62', 0.03319168245586033]
6;[17, '152', 0.03249247624728101]
6;[18, '8', 0.02994562404682115]
6;[19, '43', 0.026602684707354253]
6;[20, '134', 0.02626495512470732]
6;[21, '159', 0.025502181399855228]
6;[22, '144', 0.023757823277100864]
6;[23, '41', 0.023493382049724017]
6;[24, '122', 0.02109157837507095]
6;[25, '51', 0.021076847738123773]
6;[26, '24', 0.02026712865606772]
6;[27, '100', 0.017305616327836514]
6;[28, '6', 0.01597303895878213]
6;[29, '82', 0.015542549079355525]
6;[30, '160', 0.015104995932577744]
6;[31, '26', 0.01480767670645566]
6;[32, '59', 0.014211594372518671]
6;[33, '1', 0.012985346230543352]
6;[34, '89', 0.012218589674450256]
6;[35, '141', 0.011896671548583716]
6;[36, '150', 0.010953919516640204]
6;[37, '3', 0.008887360506965859]
6;[38, '113', 0.008141601199366598]
6;[39, '4', 0.007836709706197542]
6;[40, '42', 0.007760358523853229]
6;[41, '139', 0.00765457416490953]
6;[42, '167', 0.007467296833276845]
6;[43, '64', 0.007102323484097694]
6;[44, '140', 0.006811125499955125]
6;[45, '74', 0.006499413664262917]
6;[46, '156', 0.006236288776800356]
6;[47, '149', 0.006219565204345367]
6;[48, '143', 0.005727980938023504]
6;[49, '21', 0.005487613425217174]
6;[50, '65', 0.005348415234244802]
6;[51, '15', 0.005240718575134815]
6;[52, '13', 0.005162531990724868]
6;[53, '68', 0.00489203482713652]
6;[54, '151', 0.0047805611807644]
6;[55, '92', 0.004759612180692907]
6;[56, '148', 0.004602918465059753]
6;[57, '49', 0.0045557875993428795]
6;[58, '85', 0.004315450333757049]
6;[59, '108', 0.004040501807862985]
6;[60, '40', 0.0038806768621657043]
6;[61, '5', 0.0038418437224336027]
6;[62, '155', 0.0036938674245450514]
6;[63, '124', 0.003595322979108152]
6;[64, '22', 0.0033060822756401016]
6;[65, '93', 0.0031072092712913263]
6;[66, '123', 0.0029354097751483686]
7;[1, '151', 0.1644936641613997]
7;[2, '55', 0.12318467640112793]
7;[3, '11', 0.10649364970074916]
7;[4, '51', 0.08829400651389945]
7;[5, '23', 0.08424067850896294]
7;[6, '144', 0.07712787126572772]
7;[7, '150', 0.07689687645967813]
7;[8, '140', 0.07645215756814089]
7;[9, '2', 0.0757190798903208]
7;[10, '26', 0.06378646948245123]
7;[11, '65', 0.06204242521646871]
7;[12, '70', 0.06195088686776439]
7;[13, '167', 0.05917021913272378]
7;[14, '138', 0.0578408997943714]
7;[15, '24', 0.051557393007062725]
7;[16, '166', 0.0488603853478437]
7;[17, '160', 0.04835128437335923]
7;[18, '122', 0.048240787693272454]
7;[19, '44', 0.04162389949115744]
7;[20, '143', 0.04097538926613413]
7;[21, '62', 0.040651342860673116]
7;[22, '1', 0.03765149437458822]
7;[23, '28', 0.03655602897312958]
7;[24, '124', 0.036377299095991016]
7;[25, '113', 0.034106361551883436]
7;[26, '54', 0.03332375996008312]
7;[27, '141', 0.032908615006847344]
7;[28, '59', 0.03144853596117216]
7;[29, '159', 0.031233665878770658]
7;[30, '137', 0.029358040857716663]
7;[31, '155', 0.0292698883997153]
7;[32, '114', 0.02905932767463615]
7;[33, '108', 0.02890392551914341]
7;[34, '139', 0.026393325517046477]
7;[35, '41', 0.02459363088737301]
7;[36, '3', 0.02405760293648275]
7;[37, '7', 0.02391846356400295]
7;[38, '47', 0.023339248724205845]
7;[39, '32', 0.023043957470294186]
7;[40, '35', 0.02202847129615271]
7;[41, '100', 0.021194964843788317]
7;[42, '80', 0.020968289142848175]
7;[43, '52', 0.020771228442222626]
7;[44, '6', 0.019562897545306455]
7;[45, '22', 0.01933767490604462]
7;[46, '82', 0.019035657273292744]
7;[47, '145', 0.018270419642893845]
7;[48, '149', 0.016836025725121388]
7;[49, '45', 0.01588286769194716]
7;[50, '89', 0.014964655039421175]
7;[51, '73', 0.013656180845442992]
7;[52, '134', 0.013407938916244519]
7;[53, '31', 0.012707976655168374]
7;[54, '78', 0.012683500744420222]
7;[55, '48', 0.010772633396506977]
