QueryNumber;DocInfos
1;[1, '754', 0.1519580204296169]
1;[2, '499', 0.15058098708592735]
1;[3, '827', 0.14625000287091675]
1;[4, '533', 0.14501911134091594]
1;[5, '481', 0.14037718443764904]
1;[6, '526', 0.13419091904695765]
1;[7, '568', 0.12505929513308237]
1;[8, '151', 0.12399622004605722]
1;[9, '957', 0.12388660161861126]
1;[10, '302', 0.12362216009693147]
1;[11, '741', 0.12139092668913351]
1;[12, '1188', 0.11622546341746619]
1;[13, '27', 0.11524965991242161]
1;[14, '311', 0.10834434389961474]
1;[15, '11', 0.1052004961383201]
1;[16, '53', 0.1029668459456946]
1;[17, '461', 0.10147674875412196]
1;[18, '975', 0.09923392785944471]
1;[19, '52', 0.09892408907929985]
1;[20, '960', 0.09842927431170426]
1;[21, '463', 0.09823908287353741]
1;[22, '847', 0.09783932398923902]
1;[23, '40', 0.09716544600381061]
1;[24, '139', 0.09519127868527451]
1;[25, '265', 0.09402883931834623]
1;[26, '1064', 0.09272759879210188]
1;[27, '1107', 0.09095099215629658]
1;[28, '1026', 0.08929694716141329]
1;[29, '967', 0.08821694963630022]
1;[30, '980', 0.08637166727665621]
1;[31, '867', 0.07874596427102952]
1;[32, '1078', 0.07147080220995798]
1;[33, '701', 0.07067158837552175]
1;[34, '950', 0.06922910024380388]
1;[35, '742', 0.06911675989971862]
1;[36, '823', 0.06815738782221818]
1;[37, '789', 0.06729350037717678]
1;[38, '1102', 0.06726801121561936]
1;[39, '958', 0.06664658998401396]
1;[40, '246', 0.06632107357321838]
1;[41, '909', 0.06528529271405915]
1;[42, '159', 0.06430412916196432]
1;[43, '459', 0.06425019709967658]
1;[44, '527', 0.06257301713209927]
1;[45, '564', 0.060206552282509415]
1;[46, '522', 0.059989897189930676]
1;[47, '266', 0.05884298750314123]
1;[48, '1081', 0.055714767064517334]
1;[49, '43', 0.05315444354041965]
1;[50, '166', 0.05283660747536959]
1;[51, '914', 0.05143071663753057]
1;[52, '28', 0.051388157047586557]
1;[53, '982', 0.05090100697532839]
1;[54, '776', 0.05080746183786365]
1;[55, '813', 0.050683021291967216]
1;[56, '1055', 0.05054606187223267]
1;[57, '171', 0.0501073369295162]
1;[58, '636', 0.04962167807576214]
1;[59, '753', 0.049509708582443204]
1;[60, '861', 0.04838156917317639]
1;[61, '1112', 0.04728465413488842]
1;[62, '523', 0.04642035831076189]
1;[63, '400', 0.04616967163731867]
1;[64, '317', 0.045988367559728155]
1;[65, '179', 0.045860323029687684]
1;[66, '321', 0.04508520721027757]
1;[67, '970', 0.04394344430855343]
1;[68, '531', 0.043677562919121775]
1;[69, '458', 0.04286270543724084]
1;[70, '520', 0.04257006640905296]
1;[71, '1071', 0.0424951795301248]
1;[72, '959', 0.04211828939605414]
1;[73, '541', 0.04159821208346614]
1;[74, '850', 0.04111548640451542]
