QueryNumber;DocInfos
1;[1, '526', 0.14025485537653523]
1;[2, '741', 0.12812503453193158]
1;[3, '957', 0.10281163673381258]
1;[4, '461', 0.1010220189949814]
1;[5, '40', 0.09660906995493955]
1;[6, '1026', 0.09403885190179842]
1;[7, '139', 0.09031867651739611]
1;[8, '967', 0.08358138014396772]
1;[9, '960', 0.08083621642692684]
1;[10, '1107', 0.07989114055647202]
1;[11, '789', 0.07900689361306783]
1;[12, '522', 0.06380486323599474]
1;[13, '527', 0.06307773206233365]
1;[14, '533', 0.061954707187032616]
1;[15, '246', 0.05795963604443592]
1;[16, '827', 0.05787891906465069]
1;[17, '52', 0.049737004191112245]
1;[18, '636', 0.04849912281542063]
1;[19, '850', 0.043650392538724686]
1;[20, '520', 0.04188856506236229]
1;[21, '1201', 0.03419374603158397]
1;[22, '303', 0.024107190453119987]
1;[23, '567', 0.02316346949641022]
1;[24, '742', 0.01829439140659552]
2;[1, '1', 0.08228231751544457]
2;[2, '912', 0.0755851963833298]
2;[3, '179', 0.05911768670867523]
2;[4, '271', 0.05842174605592505]
2;[5, '555', 0.05694945219936326]
2;[6, '1078', 0.05497381455135856]
2;[7, '80', 0.054963573469571377]
2;[8, '174', 0.054146534110273155]
2;[9, '159', 0.05216023160604586]
2;[10, '558', 0.05104280453982795]
2;[11, '6', 0.050809676989057306]
2;[12, '225', 0.049939769504398386]
2;[13, '226', 0.04980593043265807]
2;[14, '896', 0.049543326411351195]
2;[15, '304', 0.04788398031316866]
2;[16, '176', 0.047094216502814645]
2;[17, '45', 0.046111821666048394]
2;[18, '666', 0.04580018971083753]
2;[19, '758', 0.045650171901716975]
2;[20, '7', 0.044847840782402525]
2;[21, '1071', 0.04262311304651781]
2;[22, '913', 0.0410955323875458]
2;[23, '634', 0.03796772906929271]
2;[24, '417', 0.035915965565761515]
2;[25, '980', 0.03421582646820077]
2;[26, '540', 0.03398357150005171]
2;[27, '514', 0.03391295292321324]
2;[28, '733', 0.0339044629387423]
2;[29, '160', 0.033604453809363714]
2;[30, '618', 0.03335192115290183]
2;[31, '683', 0.03231442514123853]
2;[32, '172', 0.03187645614083462]
2;[33, '873', 0.03179123715767661]
2;[34, '1192', 0.03169942230494457]
2;[35, '134', 0.03155786562788108]
2;[36, '25', 0.0311105001929694]
2;[37, '1051', 0.03082751167088425]
2;[38, '265', 0.030633908884151826]
2;[39, '661', 0.02985778379401399]
2;[40, '47', 0.029777054277258363]
2;[41, '1019', 0.028875101125447337]
2;[42, '1082', 0.027615898443334123]
2;[43, '473', 0.027615557950251786]
2;[44, '864', 0.025936699186630892]
2;[45, '210', 0.02570387510208198]
2;[46, '614', 0.025593368548875308]
2;[47, '480', 0.025507608021986577]
2;[48, '223', 0.02548721796348278]
2;[49, '345', 0.02508218957093016]
2;[50, '184', 0.024846129327976748]
2;[51, '901', 0.02462726844926332]
2;[52, '969', 0.024586027139836996]
2;[53, '152', 0.023991106790725258]
2;[54, '366', 0.023976269586878204]
2;[55, '1086', 0.023317634292339788]
2;[56, '754', 0.02327367961836363]
2;[57, '1222', 0.023228579532635775]
2;[58, '696', 0.023028135172951103]
2;[59, '365', 0.022970094993433984]
2;[60, '725', 0.022594300345362778]
2;[61, '74', 0.022444050243904515]
2;[62, '48', 0.02233314873709334]
2;[63, '177', 0.0219216921041844]
2;[64, '679', 0.021155767046013622]
2;[65, '677', 0.02070064815064203]
2;[66, '459', 0.020578519852042978]
2;[67, '8', 0.020522505988685377]
2;[68, '178', 0.020435526909351936]
2;[69, '202', 0.020371821260758684]
2;[70, '550', 0.020344847580760148]
2;[71, '809', 0.020260127785593687]
2;[72, '699', 0.02021504146386753]
2;[73, '1118', 0.020005850656408686]
2;[74, '141', 0.0198461939060927]
2;[75, '1197', 0.019771692760716282]
2;[76, '863', 0.019740370054679865]
2;[77, '546', 0.019645764826754918]
2;[78, '447', 0.019405214543356454]
2;[79, '703', 0.019157764358809698]
2;[80, '474', 0.018991816920372794]
2;[81, '407', 0.01874549610438327]
2;[82, '682', 0.01857732536777401]
2;[83, '774', 0.018562908148856874]
2;[84, '1048', 0.017875328846289004]
2;[85, '396', 0.0177944228456829]
2;[86, '305', 0.01766234779175758]
2;[87, '50', 0.017329461615005395]
2;[88, '1075', 0.01726218073344542]
2;[89, '589', 0.017214890906910998]
2;[90, '472', 0.016859361169552063]
2;[91, '587', 0.016800813649858217]
2;[92, '983', 0.01674248619199518]
2;[93, '314', 0.01672058087202253]
2;[94, '600', 0.016500032415464466]
2;[95, '778', 0.01645374177599211]
2;[96, '454', 0.01640688711126918]
2;[97, '1215', 0.01634957083853421]
2;[98, '1081', 0.0162032383834616]
2;[99, '379', 0.016152513321859616]
2;[100, '952', 0.016062709501881392]
2;[101, '553', 0.015904345794911783]
2;[102, '15', 0.01585484298986366]
2;[103, '1010', 0.01566796169739156]
2;[104, '190', 0.015611327610013567]
2;[105, '1213', 0.015440538223371601]
2;[106, '31', 0.015266558153447754]
2;[107, '870', 0.015241757868812216]
2;[108, '598', 0.015114419368225216]
2;[109, '411', 0.015002169997668215]
2;[110, '1194', 0.014795546989388057]
2;[111, '87', 0.014730036105237206]
2;[112, '651', 0.014717707189954054]
2;[113, '1104', 0.014289962009647644]
2;[114, '967', 0.01428319514808419]
2;[115, '684', 0.01428229318728024]
2;[116, '69', 0.014133054242857284]
2;[117, '209', 0.014065129688931225]
2;[118, '842', 0.014057417309690862]
2;[119, '385', 0.014056254288399917]
2;[120, '571', 0.0139815610204187]
2;[121, '183', 0.013921754057977529]
2;[122, '13', 0.013787062368661585]
2;[123, '1124', 0.013725878446472375]
2;[124, '228', 0.013407040855893356]
2;[125, '1012', 0.013402743625384565]
2;[126, '3', 0.013327329151093335]
2;[127, '521', 0.013307621602044458]
2;[128, '260', 0.01315200517842144]
2;[129, '355', 0.013007550865309876]
2;[130, '66', 0.01261160858863091]
2;[131, '541', 0.012474379085017678]
2;[132, '807', 0.012442423501757024]
2;[133, '232', 0.012386388279288934]
2;[134, '380', 0.01226842327103693]
2;[135, '1006', 0.012190417406229]
2;[136, '914', 0.011866691159373388]
2;[137, '753', 0.011697415941292635]
2;[138, '1201', 0.011686716504845656]
2;[139, '1101', 0.0115915859665573]
2;[140, '887', 0.011546589923019624]
2;[141, '2', 0.011407323620444804]
2;[142, '70', 0.011315697560786344]
2;[143, '905', 0.011272092052261184]
2;[144, '349', 0.011228066290352298]
2;[145, '1119', 0.011114968837618753]
2;[146, '1237', 0.010939964372273125]
2;[147, '308', 0.010900172138933949]
2;[148, '610', 0.01085793648530751]
2;[149, '667', 0.01049943585206084]
2;[150, '945', 0.010421252416172972]
2;[151, '776', 0.010321897699820016]
2;[152, '139', 0.010302522840672724]
2;[153, '1059', 0.01027721654333619]
2;[154, '678', 0.010138774205934653]
2;[155, '1188', 0.010114896145123353]
2;[156, '1067', 0.01010027201213716]
2;[157, '786', 0.010069009625917724]
2;[158, '424', 0.009953861866026072]
2;[159, '782', 0.009931622435665624]
2;[160, '453', 0.009931603456378828]
2;[161, '647', 0.009903815938523776]
2;[162, '674', 0.0098200285658226]
2;[163, '1110', 0.009725160795296813]
2;[164, '243', 0.009637974954152802]
2;[165, '646', 0.009580879369645749]
2;[166, '192', 0.009442533849870875]
2;[167, '43', 0.009277792632640478]
2;[168, '622', 0.00922635301655695]
2;[169, '597', 0.009199763514307815]
2;[170, '519', 0.009052665807391443]
2;[171, '994', 0.008938699839797493]
2;[172, '1120', 0.008792493287813462]
2;[173, '986', 0.008747188655039598]
2;[174, '100', 0.008667789450020395]
2;[175, '41', 0.008591939478639996]
2;[176, '982', 0.008573168615216595]
2;[177, '976', 0.008420400475211028]
2;[178, '630', 0.008357296442241318]
2;[179, '588', 0.008336380793059815]
2;[180, '1083', 0.008292044353455007]
2;[181, '746', 0.0081090744667136]
2;[182, '1216', 0.008061667017407714]
2;[183, '509', 0.007987605553396903]
2;[184, '673', 0.007949144167659941]
2;[185, '804', 0.0077132558116439496]
2;[186, '631', 0.007671943986820539]
2;[187, '1045', 0.0076543003790402]
2;[188, '710', 0.007592260416250429]
2;[189, '866', 0.00756713603788684]
2;[190, '816', 0.0072914934999831265]
2;[191, '1034', 0.007190578812694691]
2;[192, '421', 0.006837647385983217]
2;[193, '205', 0.00678776091393338]
2;[194, '348', 0.006526925421483281]
2;[195, '224', 0.006508084690489777]
2;[196, '235', 0.006463732694490369]
2;[197, '742', 0.006252645317072984]
2;[198, '892', 0.005287578801363555]
3;[1, '624', 0.07302852563938594]
3;[2, '51', 0.0674311080942406]
3;[3, '65', 0.0653186997542287]
3;[4, '55', 0.05712221968638915]
3;[5, '420', 0.052961911089371476]
3;[6, '853', 0.05095873607977118]
3;[7, '2', 0.050193355614078373]
3;[8, '766', 0.04957047297578599]
3;[9, '619', 0.04911485013658057]
3;[10, '1064', 0.04891009105641098]
3;[11, '1053', 0.04866650362667861]
3;[12, '958', 0.04748566085179843]
3;[13, '829', 0.047207259724497096]
3;[14, '655', 0.04589055500146801]
3;[15, '854', 0.045626437199150965]
3;[16, '523', 0.044569415086077896]
3;[17, '140', 0.04284789355607598]
3;[18, '972', 0.0425047895219711]
3;[19, '336', 0.04234779891839081]
3;[20, '421', 0.0421208575752605]
3;[21, '883', 0.04121869647025467]
3;[22, '754', 0.04091156217612331]
3;[23, '481', 0.04069176223610066]
3;[24, '1202', 0.040274604839604]
3;[25, '44', 0.03958516231409173]
3;[26, '1237', 0.038509542845524436]
3;[27, '765', 0.037507497076098587]
3;[28, '170', 0.03749846668913934]
3;[29, '418', 0.03729101484911477]
3;[30, '680', 0.037041041376652636]
3;[31, '317', 0.03700360844719357]
3;[32, '530', 0.036636882007388634]
3;[33, '425', 0.03640492829417595]
3;[34, '401', 0.035860663668034726]
3;[35, '685', 0.035607112623559645]
3;[36, '857', 0.03509368178548477]
3;[37, '528', 0.03496386549878253]
3;[38, '246', 0.03486534257492295]
3;[39, '625', 0.03462445998962811]
3;[40, '947', 0.034488037689725935]
3;[41, '961', 0.034325101901612885]
3;[42, '150', 0.033941650190790866]
3;[43, '320', 0.03386379194977631]
3;[44, '675', 0.03379247180291262]
3;[45, '1056', 0.03275812860503867]
3;[46, '124', 0.03263233545986472]
3;[47, '122', 0.03215678218475968]
3;[48, '681', 0.03203581585484566]
3;[49, '1020', 0.03153063693104884]
3;[50, '138', 0.03047713494607249]
3;[51, '814', 0.030418496191913866]
3;[52, '461', 0.030384656808145408]
3;[53, '971', 0.03030259442144394]
3;[54, '621', 0.029995661057723125]
3;[55, '45', 0.029865700932620833]
3;[56, '338', 0.029860494938478144]
3;[57, '819', 0.02962711112338872]
3;[58, '160', 0.02953574002822657]
3;[59, '259', 0.029390994064925523]
3;[60, '275', 0.028927285929175477]
3;[61, '308', 0.028777103269531715]
3;[62, '1081', 0.028518342543491705]
3;[63, '613', 0.028180841450769586]
3;[64, '310', 0.02792230167810863]
3;[65, '840', 0.027821527894936214]
3;[66, '383', 0.027758762410138235]
3;[67, '640', 0.027445573311987492]
3;[68, '151', 0.026905165428028052]
3;[69, '851', 0.026724973091292258]
3;[70, '920', 0.026717233493038384]
3;[71, '786', 0.02658278476098285]
3;[72, '639', 0.02634136674847279]
3;[73, '848', 0.02615567163514215]
3;[74, '143', 0.025777935525725434]
3;[75, '662', 0.025443389805152667]
3;[76, '324', 0.025192732720605963]
3;[77, '187', 0.025000988985824004]
3;[78, '209', 0.02475518639514597]
3;[79, '1208', 0.024732544127240845]
3;[80, '574', 0.024311164855747133]
3;[81, '108', 0.02420760046493643]
3;[82, '1124', 0.02415809074600575]
3;[83, '548', 0.024060345626204953]
3;[84, '367', 0.023390872763472657]
3;[85, '304', 0.023260119376549544]
3;[86, '1198', 0.022727073983474937]
3;[87, '589', 0.022695855078849393]
3;[88, '210', 0.02261992008969318]
3;[89, '688', 0.022575052968656674]
3;[90, '32', 0.022499073290547678]
3;[91, '1030', 0.022497414453829398]
3;[92, '35', 0.02230445050683401]
3;[93, '113', 0.022128735010532967]
3;[94, '1207', 0.02197142366521113]
3;[95, '709', 0.02196952171571961]
3;[96, '204', 0.02173313767589897]
3;[97, '695', 0.021570404855822536]
3;[98, '366', 0.02109959295826943]
3;[99, '564', 0.02079496168164779]
3;[100, '172', 0.020645740538915373]
3;[101, '563', 0.020008656327050612]
3;[102, '70', 0.019916076744661032]
3;[103, '144', 0.019825405496168364]
3;[104, '231', 0.01951171160447642]
3;[105, '233', 0.019506175682475806]
3;[106, '816', 0.019249976859416373]
3;[107, '390', 0.019197800541317173]
3;[108, '973', 0.0191675004444523]
3;[109, '1126', 0.018966437804130962]
3;[110, '357', 0.018422967640310536]
3;[111, '375', 0.018355066457260365]
3;[112, '462', 0.018130689450173466]
3;[113, '1141', 0.018100320690559887]
3;[114, '399', 0.018041271266056935]
3;[115, '629', 0.018033687029041106]
3;[116, '1058', 0.01790699002205838]
3;[117, '400', 0.017816630360863308]
3;[118, '486', 0.017801886130826314]
3;[119, '149', 0.017749769467425448]
3;[120, '896', 0.01743964409960235]
3;[121, '194', 0.01723815535933249]
3;[122, '646', 0.01686272788594611]
3;[123, '269', 0.016824936988472174]
3;[124, '1209', 0.016619423683442672]
3;[125, '825', 0.016541950405285003]
3;[126, '229', 0.01653550429980595]
3;[127, '407', 0.016496408508009732]
3;[128, '743', 0.016335281135477397]
3;[129, '254', 0.016072621239908835]
3;[130, '1002', 0.016000113209624463]
3;[131, '657', 0.01581533346669824]
3;[132, '499', 0.01575672590870728]
3;[133, '560', 0.015560510595243786]
3;[134, '715', 0.01550086051770655]
3;[135, '1007', 0.015461441212480916]
3;[136, '463', 0.015183821518818497]
3;[137, '388', 0.01516122456675333]
3;[138, '606', 0.015105605563142816]
3;[139, '1230', 0.01504598636399745]
3;[140, '576', 0.015017650518843273]
3;[141, '52', 0.01495952880418388]
3;[142, '169', 0.014902065912745835]
3;[143, '583', 0.01489224371095119]
3;[144, '666', 0.014831931586518802]
3;[145, '587', 0.014785049362881364]
3;[146, '676', 0.014775105692740488]
3;[147, '573', 0.014766337742212051]
3;[148, '983', 0.01473372004266575]
3;[149, '314', 0.014714442926458467]
3;[150, '410', 0.014586443424046181]
3;[151, '1043', 0.014582713423312216]
3;[152, '24', 0.014567089897702754]
3;[153, '59', 0.0144435864671026]
3;[154, '873', 0.0139884597400818]
3;[155, '567', 0.013933874577765744]
3;[156, '978', 0.013893056547427868]
3;[157, '190', 0.013738278046796334]
3;[158, '404', 0.01362152830609499]
3;[159, '139', 0.013582692251890714]
